amenity_id,category,subtype,name,latitude,longitude,district
N5552603923,community,community_centre,(unnamed community_centre),24.469571,54.344399,Al Khalidiyah
W91577729,community,park,(unnamed park),24.457662,54.374184,Al Khalidiyah
W172829154,community,park,(unnamed park),24.475746,54.347241,Al Khalidiyah
W260009998,community,park,(unnamed park),24.45378,54.355272,Al Khalidiyah
W416298424,community,park,(unnamed park),24.457175,54.352042,Al Khalidiyah
W1032549701,community,park,(unnamed park),24.481412,54.356509,Al Khalidiyah
W66017586,community,place_of_worship,(unnamed place_of_worship),24.458072,54.367192,Al Khalidiyah
W69020913,community,place_of_worship,(unnamed place_of_worship),24.458786,54.376669,Al Khalidiyah
W89783793,community,place_of_worship,(unnamed place_of_worship),24.445444,54.363271,Al Khalidiyah
W89783794,community,place_of_worship,(unnamed place_of_worship),24.4498,54.364726,Al Khalidiyah
W90658053,community,place_of_worship,(unnamed place_of_worship),24.461347,54.351501,Al Khalidiyah
W111301374,community,place_of_worship,(unnamed place_of_worship),24.464004,54.343557,Al Khalidiyah
W111301377,community,place_of_worship,(unnamed place_of_worship),24.46086,54.347415,Al Khalidiyah
W119133471,community,place_of_worship,(unnamed place_of_worship),24.470545,54.347354,Al Khalidiyah
W119133498,community,place_of_worship,(unnamed place_of_worship),24.471561,54.348508,Al Khalidiyah
W119134826,community,place_of_worship,(unnamed place_of_worship),24.466901,54.347164,Al Khalidiyah
W119134832,community,place_of_worship,(unnamed place_of_worship),24.463493,54.353444,Al Khalidiyah
W119140379,community,place_of_worship,(unnamed place_of_worship),24.460522,54.341588,Al Khalidiyah
W119140380,community,place_of_worship,(unnamed place_of_worship),24.45773,54.344003,Al Khalidiyah
W119140382,community,place_of_worship,(unnamed place_of_worship),24.457906,54.34724,Al Khalidiyah
W119427979,community,place_of_worship,(unnamed place_of_worship),24.45671,54.371834,Al Khalidiyah
W119428432,community,place_of_worship,(unnamed place_of_worship),24.455912,54.374309,Al Khalidiyah
W136962277,community,place_of_worship,(unnamed place_of_worship),24.462078,54.362941,Al Khalidiyah
W141029806,community,place_of_worship,(unnamed place_of_worship),24.465011,54.365968,Al Khalidiyah
W141177052,community,place_of_worship,(unnamed place_of_worship),24.452073,54.36296,Al Khalidiyah
W141196529,community,place_of_worship,(unnamed place_of_worship),24.459717,54.360959,Al Khalidiyah
W144308192,community,place_of_worship,(unnamed place_of_worship),24.48178,54.350839,Al Khalidiyah
W144308715,community,place_of_worship,(unnamed place_of_worship),24.476465,54.353609,Al Khalidiyah
W170334915,community,place_of_worship,(unnamed place_of_worship),24.466389,54.353041,Al Khalidiyah
W170335286,community,place_of_worship,(unnamed place_of_worship),24.475447,54.352303,Al Khalidiyah
W206647176,community,place_of_worship,(unnamed place_of_worship),24.468738,54.362904,Al Khalidiyah
W372378504,community,place_of_worship,(unnamed place_of_worship),24.479245,54.357068,Al Khalidiyah
W397390549,community,place_of_worship,(unnamed place_of_worship),24.478203,54.355863,Al Khalidiyah
W400026313,community,place_of_worship,(unnamed place_of_worship),24.459954,54.342234,Al Khalidiyah
W417375550,community,place_of_worship,(unnamed place_of_worship),24.464165,54.36185,Al Khalidiyah
W417375602,community,place_of_worship,(unnamed place_of_worship),24.466757,54.364161,Al Khalidiyah
W417375607,community,place_of_worship,(unnamed place_of_worship),24.468021,54.361872,Al Khalidiyah
W417375610,community,place_of_worship,(unnamed place_of_worship),24.463602,54.360635,Al Khalidiyah
W417375613,community,place_of_worship,(unnamed place_of_worship),24.464567,54.360151,Al Khalidiyah
W417375617,community,place_of_worship,(unnamed place_of_worship),24.466096,54.358399,Al Khalidiyah
W417375621,community,place_of_worship,(unnamed place_of_worship),24.4698,54.360404,Al Khalidiyah
W437418159,community,place_of_worship,(unnamed place_of_worship),24.456753,54.347997,Al Khalidiyah
W474869141,community,place_of_worship,(unnamed place_of_worship),24.478476,54.349274,Al Khalidiyah
W474869156,community,place_of_worship,(unnamed place_of_worship),24.466113,54.351001,Al Khalidiyah
W478883461,community,place_of_worship,(unnamed place_of_worship),24.463769,54.369796,Al Khalidiyah
W478895301,community,place_of_worship,(unnamed place_of_worship),24.466065,54.367654,Al Khalidiyah
W479544271,community,place_of_worship,(unnamed place_of_worship),24.457875,54.358713,Al Khalidiyah
W480301671,community,place_of_worship,(unnamed place_of_worship),24.453896,54.353811,Al Khalidiyah
W480453532,community,place_of_worship,(unnamed place_of_worship),24.467683,54.360062,Al Khalidiyah
W480455488,community,place_of_worship,(unnamed place_of_worship),24.463077,54.356851,Al Khalidiyah
W480488367,community,place_of_worship,(unnamed place_of_worship),24.464323,54.357548,Al Khalidiyah
W480655243,community,place_of_worship,(unnamed place_of_worship),24.47386,54.351236,Al Khalidiyah
N1709815281,community,playground,(unnamed playground),24.475547,54.347518,Al Khalidiyah
N2166844408,community,playground,(unnamed playground),24.463159,54.350123,Al Khalidiyah
N3991601237,community,playground,(unnamed playground),24.475308,54.347689,Al Khalidiyah
N3991601238,community,playground,(unnamed playground),24.475156,54.347532,Al Khalidiyah
N3991602812,community,playground,(unnamed playground),24.475722,54.347396,Al Khalidiyah
N4166690191,community,playground,(unnamed playground),24.464481,54.351669,Al Khalidiyah
N4235224590,community,playground,(unnamed playground),24.459693,54.346118,Al Khalidiyah
N4278052989,community,playground,(unnamed playground),24.466497,54.365078,Al Khalidiyah
N4335662992,community,playground,(unnamed playground),24.455971,54.374738,Al Khalidiyah
